conference	award_year	paper_title	if_tot	if_best_paper
ACL 	2021	"Finding Deceptive Opinion Spam by Any Stretch ...	"	1	0
ACL 	2021	Deciphering Foreign Language	0	0
ACL 	2021	Combining Morpheme-based Machine Translation 	0	0
ACL 	2021	A Word-Class Approach to Labeling PSCFG Rules ...	0	0
ACL 	2021	A Fast and Accurate Method for Approximate Str...	0	0
ACL 	2020	Centering: A Framework for Modeling the Local ...	1	0
ACL 	2020	An Efficient Probabilistic Context-Free Parsin.	0	0
ACL 	2020	Automatic Stochastic Tagging of Natural Langua...	0	0
ACL 	2020	Deterministic Part-of-Speech Tagging with Fini..	0	0
ACL 	2020	Unsupervised Word Sense Disambiguation Rivalin...	1	0
ACL 	2020	Bayesian Grammar Induction for Language Modeling	0	0
ACL 	2020	A Quantitative Evaluation of Linguistic Tests ...	0	0
ACL 	2020	New Techniques for Context Modeling	0	0
ACL 	2020	Quantifier Scope and Constituency	0	0
ACL 	2020	Distributional Memory: A General Framework for.	1	0
ACL 	2020	String-to-Dependency Statistical Machine Trans..	0	0
ACL 	2020	An Asymptotic Model for the English Hapax/Voca.	0	0
ACL 	2019	Tagging English Text with a Probabilistic Model	1	0
ACL 	2019	Tracking Point of View in Narrative	0	0
ACL 	2019	Tree-Adjoining Grammar Parsing and Boolean Mat...	0	0
ACL 	2019	RAFT/RAPR and Centering: a comparison and disc...	0	0
ACL 	2020	Word Representations: A Simple and General Met...	1	0
ACL 	2020	Conditional Random Fields for Word Hyphenation	0	0
ACL 	2020	Using Smaller Constituents Rather Than Sentenc...	0	0
ACL 	2020	Towards Open-Domain Semantic Role Labeling	0	0
ACL 	2020	Unsupervised Ontology Induction from Text	0	0
ICML	2022	Poisoning Attacks Against Support Vector Machines	1	0
ICML	2022	Building high-level features using large scale unsupervised learning (HM)	1	0
ICML	2022	On causal and anticausal learning (Hon Mention)	0	0
ICML	2022	Capturing topical content with frequency and exclusivity	0	0
ICML	2022	Lightning Does Not Strike Twice: Robust MDPs with Coupled Uncertainty	0	0
ICML	2022	Continuous Inverse Optimal Control with Locally Optimal Examples	0	0
ICML	2022	Levy Measure Decompositions for the Beta and Gamma Processes	0	0
ICML	2022	Residual Component Analysis: Generalising PCA for more flexible inference in linear-Gaussian models	0	0
ICML	2022	Influence Maximization in Continuous Time Diffusion Networks	0	0
ICML	2021	Bayesian Learning via Stochastic Gradient Langevin Dynamics	1	0
ICML	2021	Adaptively Learning the Crowd Kernel	0	0
ICML	2021	Optimal Distributed Online Prediction	0	0
ICML	2021	Structure Learning in Ergodic Factored MDPs without Knowledge of the Transition Function's In-Degree	0	0
ICML	2021	Tree preserving embedding	0	0
ICML	2021	A Three-Way Model for Collective Learning on Multi-Relational Data	0	0
ICML	2021	Dynamic Egocentric Models for Citation Networks	0	0
ICML	2021	Online Discovery of Feature Dependencies	0	0
ICML	2021	Large-Scale Learning of Embeddings with Reconstruction Sampling	0	0
ICML	2021	Sparse Additive Generative Models of Text	0	0
ICML	2021	A Spectral Algorithm for Latent Tree Graphical Models	0	0
ICML	2020	Gaussian Process Optimization in the Bandit Setting: No Regret and Experimental Design	1	0
ICML	2020	Large Graph Construction for Scalable Semi-Supervised Learning	0	0
ICML	2020	Boosting Classifiers with Tightened L0-Relaxation Penalties	0	0
